num_downloads,port,board,version,report_date,project,version_full
110,rp2,,1.18,2022-06-01,micropython-rp2-stubs,1.18.post1
90,esp8266,,1.18,2022-06-01,micropython-esp8266-stubs,1.18.post1
90,esp32,,1.18,2022-06-01,micropython-esp32-stubs,1.18.post1
89,stm32,,1.18,2022-06-01,micropython-stm32-stubs,1.18.post1
87,esp32,,1.19.1,2022-06-01,micropython-esp32-stubs,1.19.1.post3
80,esp8266,,1.19.1,2022-06-01,micropython-esp8266-stubs,1.19.1.post2
69,stm32,,1.19.1,2022-06-01,micropython-stm32-stubs,1.19.1.post3
64,stm32,,1.19.1,2022-06-01,micropython-stm32-stubs,1.19.1.post2
58,esp32,,1.17,2022-06-01,micropython-esp32-stubs,1.17.post1
57,esp8266,,1.19.1,2022-06-01,micropython-esp8266-stubs,1.19.1.post1
57,esp32,,1.19.1,2022-06-01,micropython-esp32-stubs,1.19.1.post2
57,rp2,,1.17,2022-06-01,micropython-rp2-stubs,1.17.post1
55,stm32,,1.19.1,2022-06-01,micropython-stm32-stubs,1.19.1.post1
54,stm32,,1.17,2022-06-01,micropython-stm32-stubs,1.17.post1
53,esp8266,,1.17,2022-06-01,micropython-esp8266-stubs,1.17.post1
101,esp8266,,1.19.1,2022-07-01,micropython-esp8266-stubs,1.19.1.post3
75,esp32,,1.19.1,2022-07-01,micropython-esp32-stubs,1.19.1.post3
62,rp2,,1.18,2022-07-01,micropython-rp2-stubs,1.18.post1
59,esp8266,,1.18,2022-07-01,micropython-esp8266-stubs,1.18.post2
55,stm32,,1.18,2022-07-01,micropython-stm32-stubs,1.18.post2
46,stm32,,1.19.1,2022-07-01,micropython-stm32-stubs,1.19.1.post3
21,esp8266,,1.19.1,2022-07-01,micropython-esp8266-stubs,1.19.1.post2
17,esp8266,,1.17,2022-07-01,micropython-esp8266-stubs,1.17.post1
14,stm32,,1.17,2022-07-01,micropython-stm32-stubs,1.17.post1
14,esp32,,1.18,2022-07-01,micropython-esp32-stubs,1.18.post1
13,esp8266,,1.18,2022-07-01,micropython-esp8266-stubs,1.18.post1
13,esp32,,1.17,2022-07-01,micropython-esp32-stubs,1.17.post1
13,stm32,,1.18,2022-07-01,micropython-stm32-stubs,1.18.post1
12,esp8266,,1.19.1,2022-07-01,micropython-esp8266-stubs,1.19.1.post1
11,stm32,,1.19.1,2022-07-01,micropython-stm32-stubs,1.19.1.post1
11,esp32,,1.19.1,2022-07-01,micropython-esp32-stubs,1.19.1.post2
11,rp2,,1.17,2022-07-01,micropython-rp2-stubs,1.17.post1
9,stm32,,1.19.1,2022-07-01,micropython-stm32-stubs,1.19.1.post2
138,rp2,,1.18,2022-08-01,micropython-rp2-stubs,1.18.post1
78,esp32,,1.19.1,2022-08-01,micropython-esp32-stubs,1.19.1.post3
50,esp8266,,1.19.1,2022-08-01,micropython-esp8266-stubs,1.19.1.post3
35,stm32,,1.19.1,2022-08-01,micropython-stm32-stubs,1.19.1.post3
8,esp8266,,1.18,2022-08-01,micropython-esp8266-stubs,1.18.post2
8,esp32,,1.17,2022-08-01,micropython-esp32-stubs,1.17.post1
8,stm32,,1.18,2022-08-01,micropython-stm32-stubs,1.18.post2
6,esp8266,,1.19.1,2022-08-01,micropython-esp8266-stubs,1.19.1.post2
6,esp8266,,1.17,2022-08-01,micropython-esp8266-stubs,1.17.post1
6,esp32,,1.18,2022-08-01,micropython-esp32-stubs,1.18.post1
5,stm32,,1.19.1,2022-08-01,micropython-stm32-stubs,1.19.1.post1
5,esp8266,,1.19.1,2022-08-01,micropython-esp8266-stubs,1.19.1.post1
5,stm32,,1.19.1,2022-08-01,micropython-stm32-stubs,1.19.1.post2
4,stm32,,1.17,2022-08-01,micropython-stm32-stubs,1.17.post1
4,esp8266,,1.18,2022-08-01,micropython-esp8266-stubs,1.18.post1
4,esp32,,1.19.1,2022-08-01,micropython-esp32-stubs,1.19.1.post2
4,stm32,,1.18,2022-08-01,micropython-stm32-stubs,1.18.post1
4,rp2,,1.17,2022-08-01,micropython-rp2-stubs,1.17.post1
109,rp2,,1.19.1,2022-09-01,micropython-rp2-stubs,1.19.1.post6
78,esp32,,1.19.1,2022-09-01,micropython-esp32-stubs,1.19.1.post4
77,esp8266,,1.19.1,2022-09-01,micropython-esp8266-stubs,1.19.1.post4
72,esp32,,1.19.1,2022-09-01,micropython-esp32-stubs,1.19.1.post5
70,stm32,,1.19.1,2022-09-01,micropython-stm32-stubs,1.19.1.post4
65,rp2,,1.18,2022-09-01,micropython-rp2-stubs,1.18.post1
63,esp32,um-tinypico,1.19.1,2022-09-01,micropython-esp32-um-tinypico-stubs,1.19.1.post2
62,rp2,,1.18,2022-09-01,micropython-rp2-stubs,1.18.post2
60,esp8266,,1.18,2022-09-01,micropython-esp8266-stubs,1.18.post3
58,stm32,,1.18,2022-09-01,micropython-stm32-stubs,1.18.post3
57,esp32,,1.18,2022-09-01,micropython-esp32-stubs,1.18.post2
34,esp32,,1.19.1,2022-09-01,micropython-esp32-stubs,1.19.1.post3
16,stm32,,1.19.1,2022-09-01,micropython-stm32-stubs,1.19.1.post3
15,esp8266,,1.19.1,2022-09-01,micropython-esp8266-stubs,1.19.1.post3
8,esp32,,1.19.1,2022-09-01,micropython-esp32-stubs,1.19.1.post2
8,stm32,,1.18,2022-09-01,micropython-stm32-stubs,1.18.post2
7,esp8266,,1.19.1,2022-09-01,micropython-esp8266-stubs,1.19.1.post1
7,esp8266,,1.18,2022-09-01,micropython-esp8266-stubs,1.18.post1
6,stm32,,1.17,2022-09-01,micropython-stm32-stubs,1.17.post1
5,stm32,,1.19.1,2022-09-01,micropython-stm32-stubs,1.19.1.post1
5,esp8266,,1.19.1,2022-09-01,micropython-esp8266-stubs,1.19.1.post2
5,esp32,,1.17,2022-09-01,micropython-esp32-stubs,1.17.post1
5,esp32,,1.18,2022-09-01,micropython-esp32-stubs,1.18.post1
4,esp8266,,1.18,2022-09-01,micropython-esp8266-stubs,1.18.post2
4,esp8266,,1.17,2022-09-01,micropython-esp8266-stubs,1.17.post1
4,rp2,,1.17,2022-09-01,micropython-rp2-stubs,1.17.post1
4,stm32,,1.19.1,2022-09-01,micropython-stm32-stubs,1.19.1.post2
4,stm32,,1.18,2022-09-01,micropython-stm32-stubs,1.18.post1
208,rp2,,1.19.1,2022-10-01,micropython-rp2-stubs,1.19.1.post6
88,esp32,,1.19.1,2022-10-01,micropython-esp32-stubs,1.19.1.post5
67,rp2,,1.19.1,2022-10-01,micropython-rp2-stubs,1.19.1.post7
66,esp32,,1.19.1,2022-10-01,micropython-esp32-stubs,1.19.1.post6
62,esp8266,,1.19.1,2022-10-01,micropython-esp8266-stubs,1.19.1.post4
61,esp32,um-tinypico,1.19.1,2022-10-01,micropython-esp32-um-tinypico-stubs,1.19.1.post3
59,esp8266,,1.19.1,2022-10-01,micropython-esp8266-stubs,1.19.1.post5
55,stm32,,1.19.1,2022-10-01,micropython-stm32-stubs,1.19.1.post5
43,esp32,um-tinypico,1.19.1,2022-10-01,micropython-esp32-um-tinypico-stubs,1.19.1.post2
28,stm32,,1.19.1,2022-10-01,micropython-stm32-stubs,1.19.1.post4
16,esp32,,1.18,2022-10-01,micropython-esp32-stubs,1.18.post2
14,esp32,,1.19.1,2022-10-01,micropython-esp32-stubs,1.19.1.post4
13,esp32,,1.19.1,2022-10-01,micropython-esp32-stubs,1.19.1.post3
12,rp2,,1.18,2022-10-01,micropython-rp2-stubs,1.18.post2
11,esp32,,1.19.1,2022-10-01,micropython-esp32-stubs,1.19.1.post2
10,esp32,,1.17,2022-10-01,micropython-esp32-stubs,1.17.post1
10,stm32,,1.18,2022-10-01,micropython-stm32-stubs,1.18.post3
9,rp2,,1.18,2022-10-01,micropython-rp2-stubs,1.18.post1
9,esp32,,1.18,2022-10-01,micropython-esp32-stubs,1.18.post1
9,esp8266,,1.18,2022-10-01,micropython-esp8266-stubs,1.18.post3
9,rp2,,1.17,2022-10-01,micropython-rp2-stubs,1.17.post1
7,esp8266,,1.18,2022-10-01,micropython-esp8266-stubs,1.18.post2
7,esp8266,,1.19.1,2022-10-01,micropython-esp8266-stubs,1.19.1.post3
6,stm32,,1.17,2022-10-01,micropython-stm32-stubs,1.17.post1
6,stm32,,1.19.1,2022-10-01,micropython-stm32-stubs,1.19.1.post3
6,esp8266,,1.19.1,2022-10-01,micropython-esp8266-stubs,1.19.1.post1
6,esp8266,,1.19.1,2022-10-01,micropython-esp8266-stubs,1.19.1.post2
5,esp8266,,1.18,2022-10-01,micropython-esp8266-stubs,1.18.post1
5,esp8266,,1.17,2022-10-01,micropython-esp8266-stubs,1.17.post1
4,stm32,,1.18,2022-10-01,micropython-stm32-stubs,1.18.post2
4,stm32,,1.19.1,2022-10-01,micropython-stm32-stubs,1.19.1.post2
4,stm32,,1.18,2022-10-01,micropython-stm32-stubs,1.18.post1
3,stm32,,1.19.1,2022-10-01,micropython-stm32-stubs,1.19.1.post1
192,stdlib,,,2022-11-01,micropython-stdlib-stubs,0.9.0
142,esp32,,1.19.1,2022-11-01,micropython-esp32-stubs,1.19.1.post7
112,esp8266,,1.19.1,2022-11-01,micropython-esp8266-stubs,1.19.1.post6
97,esp32,,1.19.1,2022-11-01,micropython-esp32-stubs,1.19.1.post6
75,rp2,,1.19.1,2022-11-01,micropython-rp2-stubs,1.19.1.post8
73,esp8266,,1.19.1,2022-11-01,micropython-esp8266-stubs,1.19.1.post5
66,esp32,um-tinypico,1.19.1,2022-11-01,micropython-esp32-um-tinypico-stubs,1.19.1.post4
66,stm32,,1.19.1,2022-11-01,micropython-stm32-stubs,1.19.1.post6
35,rp2,,1.19.1,2022-11-01,micropython-rp2-stubs,1.19.1.post7
24,stm32,,1.19.1,2022-11-01,micropython-stm32-stubs,1.19.1.post5
18,esp32,um-tinypico,1.19.1,2022-11-01,micropython-esp32-um-tinypico-stubs,1.19.1.post3
9,esp32,,1.17,2022-11-01,micropython-esp32-stubs,1.17.post1
8,stm32,,1.17,2022-11-01,micropython-stm32-stubs,1.17.post1
7,rp2,,1.18,2022-11-01,micropython-rp2-stubs,1.18.post2
6,stm32,,1.18,2022-11-01,micropython-stm32-stubs,1.18.post3
6,stm32,,1.19.1,2022-11-01,micropython-stm32-stubs,1.19.1.post4
6,esp32,,1.18,2022-11-01,micropython-esp32-stubs,1.18.post2
6,esp32,,1.19.1,2022-11-01,micropython-esp32-stubs,1.19.1.post5
